name,url
Princeton University,http://www.princeton.edu/
California Institute of Technology,http://www.caltech.edu/
Dartmouth College,http://www.dartmouth.edu/
St. Louis University,http://www.slu.edu/
University of Kansas,http://www.ku.edu/
University of Nebraska - Lincoln,http://www.unl.edu/
University of Oklahoma,http://www.ou.edu/
Illinois Institute of Technology,http://www.iit.edu/
University of Oregon,http://www.uoregon.edu/
"University of California, Riverside",http://www.ucr.edu/
University of Dayton,http://www.udayton.edu/
University of South Carolina,http://www.sc.edu/
University of the Pacific,http://www.pacific.edu/
Michigan Technological University,http://www.mtu.edu/
University of San Francisco,http://www.usfca.edu/
University of Arizona,http://www.arizona.edu/
University of Kentucky,http://www.uky.edu/
Johns Hopkins University,http://www.jhu.edu/
Northwestern University,http://www.northwestern.edu/
Clarkson University,http://www.clarkson.edu/
Colorado State University,http://www.colostate.edu/
DePaul University,http://www.depaul.edu/
Duquesne University,http://www.duq.edu/
Temple University,http://www.temple.edu/
The Catholic University of America,http://www.cua.edu/
University of Utah,http://www.utah.edu/
Missouri University of Science and Technology,http://www.mst.edu/
Seton Hall University,http://www.shu.edu/
Washington State University,http://www.wsu.edu/
Hofstra University,http://www.hofstra.edu/
Kansas State University,http://www.ksu.edu/
Ohio University,http://www.ohiou.edu/
University of Cincinnati,http://www.uc.edu/
Brown University,http://www.brown.edu/
Washington University in St. Louis,http://www.wustl.edu/
George Mason University,http://www.gmu.edu/
Arizona State University,http://www.asu.edu/
Howard University,http://www.howard.edu/
Mississippi State University,http://www.msstate.edu/
Oklahoma State University,http://www.okstate.edu/
Oregon State University,http://www.orst.edu/
"Rutgers, The State University of New Jersey - Newark",http://rutgers-newark.rutgers.edu/
St. John Fisher College,http://www.sjfc.edu/
New Jersey Institute of Technology,http://www.njit.edu/
University of Mississippi,http://www.olemiss.edu/
Adelphi University,http://www.adelphi.edu/
Illinois State University,http://www.ilstu.edu/
San Diego State University,http://www.sdsu.edu/
St. John's University,http://www.stjohns.edu/
University of Alabama - Birmingham,http://www.uab.edu/
University of Rhode Island,http://www.uri.edu/
University of Hawaii - Manoa,http://www.uhm.hawaii.edu/
University of Maryland Baltimore County,http://www.umbc.edu/
Cornell University,http://www.cornell.edu/
